date,title,url,cves_count,pdfs,fetched_at
2023-11-21,VulnÃ©rabilitÃ©s critiques dans les produits Synology,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-dans-les-produits-synology,0,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9s%20critiques%20dans%20les%20produits%20Synology.pdf,2026-03-04T12:48:44Z
2023-11-20,VulnÃ©rabilitÃ© critique dans CrushFTP,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-critique-dans-crushftp,1,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9%20critique%20dans%20CrushFTP.pdf,2026-03-04T12:48:44Z
2023-11-20,VulnÃ©rabilitÃ©s dans les produits Splunk,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-les-produits-splunk,12,https://dgssi.gov.ma/sites/default/files/bulletin/2025-10/Vuln%C3%A9rabilit%C3%A9s%20dans%20les%20produits%20Splunk_0.pdf,2026-03-04T12:48:45Z
2023-11-17,VulnÃ©rabilitÃ©s dans les produits Intel,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-les-produits-intel-1,99,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9s%20dans%20%20les%20produits%20Intel.pdf,2026-03-04T12:48:45Z
2023-11-17,VulnÃ©rabilitÃ©s dans les produits Juniper,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-les-produits-juniper-1,9,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9s%20dans%20les%20produits%20Juniper.pdf,2026-03-04T12:48:46Z
2023-11-17,VulnÃ©rabilitÃ© dans FortiSIEM,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-dans-fortisiem,1,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9%20dans%20FortiSIEM.pdf,2026-03-04T12:48:46Z
2023-11-17,VulnÃ©rabilitÃ©s dans Citrix Hypervisor,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-citrix-hypervisor-2,2,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9s%20dans%20Citrix%20Hypervisor.pdf,2026-03-04T12:48:46Z
2023-11-16,VulnÃ©rabilitÃ©s affectant des produits Aruba,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-des-produits-aruba,14,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9s%20affectant%20%20des%20produits%20Aruba.pdf,2026-03-04T12:48:47Z
2023-11-16,VulnÃ©rabilitÃ©s affectant plusieurs produits de Cisco,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-plusieurs-produits-de-cisco-11,7,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9s%20affectant%20plusieurs%20produits%20de%20Cisco.pdf,2026-03-04T12:48:48Z
2023-11-16,VulnÃ©rabilitÃ© critique affectant le plugin Â«WP Fastest CacheÂ» pour WordPress,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-critique-affectant-le-plugin-wp-fastest-cache-pour-wordpress,1,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9%20critique%20affectant%20le%20plugin%20%C2%ABWP%20Fastest%20Cache%C2%BB%20pour%20WordPress.pdf,2026-03-04T12:48:48Z
2023-11-16,VulnÃ©rabilitÃ©s critiques dans les produits SAP,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-dans-les-produits-sap-1,5,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9s%20critiques%20dans%20les%20produits%20SAP.pdf,2026-03-04T12:48:48Z
2023-11-15,VulnÃ©rabilitÃ©s affectant plusieurs produits dâAdobe,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-plusieurs-produits-dadobe-8,72,,2026-03-04T12:48:49Z
2023-11-15,VulnÃ©rabilitÃ© dans les produits industriels de Schneider Electric,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-dans-les-produits-industriels-de-schneider-electric-0,5,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9%20dans%20les%20produits%20industriels%20de%20Schneider%20Electric.pdf,2026-03-04T12:48:49Z
2023-11-15,Mises Ã  jour de sÃ©curitÃ© pour des produits de Fortinet,https://www.dgssi.gov.ma/fr/bulletins/mises-jour-de-securite-pour-des-produits-de-fortinet-4,4,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Mises%20%C3%A0%20jour%20de%20s%C3%A9curit%C3%A9%20pour%20des%20produits%20de%20Fortinet.pdf,2026-03-04T12:48:50Z
2023-11-15,VulnÃ©rabilitÃ© critique affectant VMware Cloud Director Appliance,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-critique-affectant-vmware-cloud-director-appliance,1,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9%20critique%20affectant%20VMware%20Cloud%20Director%20Appliance.pdf,2026-03-04T12:48:50Z
